PC,IIN,EIN
-0.0024376086808767417,4.822271467369984e-06,1.9289085869479937e-05
-0.002437614294821229,4.822256011856023e-06,1.928902404742409e-05
-0.002437619899824698,4.822240576903877e-06,1.928896230761551e-05
-0.0024376254958356873,4.822225162696046e-06,1.9288900650784183e-05
-0.002437631082803474,4.822209769412683e-06,1.9288839077650733e-05
-0.00243763666067807,4.82219439723162e-06,1.928877758892648e-05
-0.0024376422294102103,4.822179046328381e-06,1.9288716185313524e-05
-0.0024376477889513537,4.822163716876201e-06,1.9288654867504803e-05
-0.0024376533392536726,4.822148409046049e-06,1.9288593636184195e-05
-0.002437658880270048,4.8221331230066415e-06,1.9288532492026566e-05
-0.002437664411954064,4.822117858924465e-06,1.928847143569786e-05
-0.002437669934260002,4.82210261696379e-06,1.928841046785516e-05
-0.0024376754471428347,4.822087397286692e-06,1.9288349589146767e-05
-0.0024376809505582187,4.822072200053067e-06,1.928828880021227e-05
-0.0024376864444624925,4.822057025420653e-06,1.928822810168261e-05
-0.0024376919288126683,4.822041873545043e-06,1.9288167494180173e-05
-0.002437697403566425,4.822026744579706e-06,1.9288106978318825e-05
-0.002437702868682106,4.8220116386760016e-06,1.9288046554704006e-05
-0.002437708324118712,4.8219965559831995e-06,1.9287986223932798e-05
-0.002437713769835894,4.8219814966484964e-06,1.9287925986593986e-05
-0.002437719205793951,4.8219664608170315e-06,1.9287865843268126e-05
-0.0024377246319538214,4.821951448631905e-06,1.928780579452762e-05
-0.00243773004827708,4.821936460234194e-06,1.9287745840936775e-05
-0.002437735454725931,4.821921495762969e-06,1.9287685983051877e-05
-0.0024377408512632035,4.821906555355311e-06,1.9287626221421246e-05
-0.002437746237852345,4.821891639146329e-06,1.9287566556585318e-05
-0.002437751614457419,4.8218767472691735e-06,1.9287506989076694e-05
-0.002437756981043097,4.821861879855053e-06,1.9287447519420213e-05
-0.002437762337574654,4.821847037033255e-06,1.928738814813302e-05
-0.0024377676840179633,4.821832218931155e-06,1.928732887572462e-05
-0.0024377730203394925,4.8218174256742375e-06,1.928726970269695e-05
-0.0024377783465062966,4.82180265738611e-06,1.928721062954444e-05
-0.0024377836624860146,4.821787914188517e-06,1.9287151656754067e-05
-0.0024377889682468644,4.821773196201357e-06,1.928709278480543e-05
-0.0024377942637576356,4.821758503542702e-06,1.9287034014170807e-05
-0.0024377995489876874,4.821743836328803e-06,1.9286975345315212e-05
-0.002437804823906942,4.821729194674116e-06,1.9286916778696464e-05
-0.002437810088485881,4.8217145786913086e-06,1.9286858314765234e-05
-0.0024378153426955393,4.82169998849128e-06,1.928679995396512e-05
-0.0024378205865075004,4.8216854241831755e-06,1.9286741696732702e-05
-0.0024378258198938935,4.821670885874398e-06,1.9286683543497593e-05
-0.0024378310428273854,4.821656373670626e-06,1.9286625494682502e-05
-0.0024378362552811795,4.821641887675826e-06,1.9286567550703305e-05
-0.0024378414572290077,4.8216274279922705e-06,1.9286509711969082e-05
-0.0024378466486451294,4.821612994720547e-06,1.928645197888219e-05
-0.0024378518295043233,4.821598587959577e-06,1.928639435183831e-05
-0.002437856999781885,4.8215842078066275e-06,1.928633683122651e-05
-0.002437862159453622,4.821569854357326e-06,1.9286279417429303e-05
-0.0024378673084958493,4.821555527705674e-06,1.9286222110822696e-05
-0.0024378724468853852,4.821541227944063e-06,1.9286164911776253e-05
-0.002437877574599545,4.821526955163284e-06,1.9286107820653137e-05
-0.00243788269161614,4.821512709452546e-06,1.9286050837810183e-05
-0.0024378877979134702,4.821498490899484e-06,1.9285993963597937e-05
-0.0024378928934703204,4.821484299590181e-06,1.9285937198360722e-05
-0.0024378979782659575,4.82147013560917e-06,1.928588054243668e-05
-0.0024379030522801246,4.821455999039458e-06,1.928582399615783e-05
-0.002437908115493037,4.821441889962532e-06,1.9285767559850127e-05
-0.002437913167885379,4.8214278084583755e-06,1.9285711233833502e-05
-0.0024379182094382995,4.821413754605482e-06,1.9285655018421927e-05
-0.002437923240133406,4.821399728480865e-06,1.928559891392346e-05
-0.0024379282599527622,4.821385730160072e-06,1.928554292064029e-05
-0.002437933268878884,4.8213717597172004e-06,1.9285487038868802e-05
-0.002437938266894735,4.821357817224905e-06,1.928543126889962e-05
-0.0024379432539837226,4.821343902754413e-06,1.9285375611017654e-05
-0.0024379482301296928,4.821330016375539e-06,1.9285320065502157e-05
-0.0024379531953169276,4.821316158156692e-06,1.9285264632626768e-05
-0.0024379581495301422,4.821302328164891e-06,1.9285209312659564e-05
-0.0024379630927544773,4.821288526465778e-06,1.9285154105863113e-05
-0.002437968024975499,4.821274753123629e-06,1.9285099012494515e-05
-0.0024379729461791936,4.821261008201363e-06,1.9285044032805453e-05
-0.002437977856351962,4.821247291760561e-06,1.9284989167042245e-05
-0.002437982755480619,4.82123360386147e-06,1.928493441544588e-05
-0.002437987643552387,4.821219944563021e-06,1.9284879778252085e-05
