G/g_definition/g_input,E3b,PV3b,SST3b,VIP3b,E1S1,PV1S1,SST1S1,VIPS1,E2S1,PV2S1,SST2S1,E3S1,PV3S1,SST3S1,E4S1,PV4S1,SST4S1,E1S2,PV1S2,SST1S2,VIPS2,E2S2,PV2S2,SST2S2,E3S2,PV3S2,SST3S2,E4S2,PV4S2,SST4S2,ThalE,ThalI,stability,bifurcation
5.2669615413,2.4245256550620002,4.0688940144,1.549231216223,0.782318927019,4.10032971298519,9.675391662176205,5.0451038454975885,-0.2825586417010906,5.1723252047119,26.7662808819732,3.7479896398085,6.046361311382999,3.3512728390576996,3.0603603297128,1.4187348137376,10.571503099023717,2.279830194293,5.120688600063599,10.798779004072259,5.578443855161,-0.20166811759149028,4.111213766977299,18.829292196410698,4.3241284141631,23.877609733153,28.798852825599795,15.3162524694564,5.718741268122701,21.88811524122081,3.0013311638768,0.0,0.0,unstable,RG
5.1821533404,2.413903022745,4.0296815051229995,1.543958006066,0.7886798088989999,4.08083969527506,9.528836921125519,4.97439182321056,-0.24444143927663053,5.225639504396599,26.5866564495559,3.7928526534959,5.979763415615699,3.3023549790779,3.0236503392275,1.4253940551945,10.428952422878307,2.2700326584986996,5.410338289339601,11.018564137118032,5.702707318816001,-0.1456890491439602,4.013723010249601,18.433008642668195,4.332311793483901,25.449076765417995,32.083186384442,16.1234224954348,6.209143123924002,23.314629834062636,2.9661046970134,0.0,0.0,stable,LP
5.1906966242,2.4149709777729997,4.033625808777,1.544487681645,0.7880384704969999,4.08289314800402,9.543685126185071,4.981557073868218,-0.24824886877588037,5.220389035341101,26.605344480882593,3.7883966992613987,5.986517270443399,3.3072644845116006,3.0273393140583,1.4247440474278001,10.443350640069998,2.2710390214114,5.5132824165546,11.166795658101583,5.781615088375001,-0.14423496825506965,3.9798329499303,18.399768188689997,4.332883557788101,25.864366995500998,33.078957250375396,16.3002020557798,6.323977523825501,23.79430360625424,2.9293660037778,0.0,0.0,stable,RG
5.3740166906,2.43800237426,4.118577600984,1.555936109904,0.7743073065039998,4.1221880047341894,9.85771493785146,5.1330380599654895,-0.33168625760857995,5.1015543594985,26.9752757981171,3.6895767297806,6.129130484459,3.4136473830777003,3.1070231952439995,1.4096902077947,10.7502489911423,2.2915844978894,5.9364472326276,12.07726580771485,6.257547158486001,-0.21527911122472987,3.837429240158799,18.650082464771,4.3267990017609,27.023999305081993,36.5531380722145,16.595752615394098,6.540544696225103,25.60900366264321,2.6502735070464998,0.0,0.0,stable,RG
5.7650397799,2.4878774604929994,4.3018346141879995,1.580891166643,0.745214871582,4.17860391403854,10.498228258555452,5.44153486377504,-0.5204460299170406,4.8182166061344995,27.5956486395394,3.4647053789366993,6.422380485074999,3.6487575030323,3.2815685814415003,1.3710743710832003,11.3918719795169,2.3286332028656,6.3379905186146,13.420307648411168,6.952854276228001,-0.4197571570679006,3.658341971972,19.338888062187994,4.293442112626701,27.483984733629992,39.2726186578321,16.3331085488085,6.393298987024801,27.13455080223497,2.162792767539,0.0,0.0,stable,RG
6.4372755914,2.576089060386,4.623694659373,1.6255472664539998,0.695833089989,4.20487396519193,11.505930898851181,5.92478096676123,-0.8770167926856696,4.280704496787698,28.277688688810798,3.0618310922064005,6.912587942333,4.0892772715282,3.6035956996386,1.2869697445234998,12.454515913759352,2.3701282757527,6.6248946552976005,15.1956110938242,7.860569628026,-0.8597200848885003,3.3680505367240006,20.399199029791998,4.1817835557525,27.168642308140992,41.05974552421799,15.4979424588331,5.826112164788101,28.246306102771403,1.4457462471287,0.0,0.0,stable,RG
7.7475738008,2.757628193676,5.277861335059001,1.719336312683,0.6019453995859999,4.077003528606349,13.13947460654346,6.697261332599351,-1.6704263143599396,3.1991817308668002,28.817223739348506,2.3047303973388003,7.937435575179999,5.1677427164603005,4.3674071244857995,1.0762382012882,14.39688803520612,2.3657053029924997,6.477088772215599,17.323094809260002,8.903097543262,-1.8894223350073,2.7405863305539997,21.850127450453005,3.813425720785,25.523209017686998,40.864406936091,13.876127401674996,4.5454908945931995,28.617299924935768,0.427171730898001,0.0,0.0,stable,RG
7.7728792116,2.7612666059429998,5.2908685245300004,1.7212398045309998,0.600163718408,4.072873397403579,13.16700197807003,6.710095529417582,-1.6868150094965204,3.1786254937700993,28.821283015343095,2.2908863129160997,7.959677524957,5.192947163338999,4.384843435320799,1.0717983711182,14.43320803304013,2.3644595098216996,6.4692776905386,17.35176506924181,8.916495351418002,-1.9104056108931993,2.727600088441,21.870701987998,3.8049885241000005,25.489161369437,40.84275734963699,13.848653793968,4.5213522975581,28.61548632413243,0.41070472851379936,0.0,0.0,unstable,HB
9.4104548854,3.0083889510460002,6.166045396071,1.8524269500029997,0.48750987855899997,3.7783048574457005,14.759113307005201,7.436652903763701,-2.8165440363378202,1.896076544957701,28.789312032534102,1.4903827826016998,10.345179104422002,8.086270139502998,6.252570723428001,0.8658256060407001,17.05446526809645,2.1686147513296,5.795474034545601,18.597908489864096,9.460700293128,-3.2873981198703985,1.853929871884,22.764314224463,3.2140894644579996,23.439559509787,39.194994910866,12.386423926384001,3.0671239431013007,28.29648638743536,-0.5244177113843993,0.0,0.0,unstable,RG
9.5584487206,3.03192046099,6.248607150764,1.865097337905,0.47759189978499994,3.8224698226058997,15.00829646383648,7.5505611207839,-2.93592107624056,1.7735040785282004,28.748325420343498,1.4569597413691993,11.522515470949001,9.566610379495,7.11161365707,0.9834105360598,17.767967375539012,2.1154396033742997,5.7247717524146,18.6655570021867,9.486518599577,-3.4114943749746995,1.7738361713949997,22.81165823873,3.1586839601989993,23.272418779776995,39.043314450916,12.280793226348,2.946123744041998,28.258120201908334,-0.5996514185304993,0.0,0.0,unstable,LP
