E1,E2,E3,E4
0.0001971964679182988,0.00024762016254874057,0.00035251289167158865,9.910786477211187e-06
0.00019756003484315603,0.00024807703225603126,0.00035316224110548314,9.928119920409278e-06
0.00019791940818286396,0.0002485286361394973,0.00035380409389451195,9.945242454469832e-06
0.00019827463007638082,0.0002489750270754633,0.00035443852542985576,9.962156301652145e-06
0.00019862574238454519,0.0002494162575915873,0.0003550656106045603,9.97886366864335e-06
0.0001989727866880225,0.00024985237986427985,0.00035568542380986915,9.995366746461064e-06
0.00019931580428539502,0.0002502834457163036,0.0003562980389318133,1.00116677103636e-05
0.00019965483619139055,0.000250709506614547,0.00035690352934804955,1.0027768719767519e-05
0.00019998992313524636,0.0002511306136679676,0.00035750196792494015,1.0043671918172313e-05
0.000200321105559204,0.0002515468176256991,0.0003580934270148669,1.0059379433091967e-05
0.00020064842361713106,0.00025195816887531856,0.00035867797845377206,1.007489337599325e-05
0.00020097191717326603,0.0002523647174412675,0.00035925569355891977,1.0090215842240463e-05
0.0002012916258010827,0.0002527665129834231,0.0003598266431268717,1.0105348911046515e-05
0.00020160758878227025,0.0002531636047958147,0.00036039089743166873,1.0120294645430062e-05
0.0002019198451058257,0.000253556041805481,0.0003609485262232142,1.0135055092178583e-05
0.00020222843346725486,0.0002539438725714638,0.0003614995987258515,1.0149632281817165e-05
0.00020253339226787887,0.0002543271452839339,0.0003620441836371301,1.0164028228582828e-05
0.0002028347596142428,0.0002547059077634454,0.000362582349126754,1.017824493040423e-05
0.0002031325733176229,0.00025508020746031345,0.0003631141628357077,1.0192284368886555e-05
0.00020342687089362971,0.0002554500914541126,0.0003636396918755522,1.0206148509301428e-05
0.00020371768956190398,0.0002558156064532911,0.0003641590028278881,1.0219839300581703e-05
0.00020400506624590183,0.0002561767987948981,0.0003646721617439779,1.0233358675320952e-05
0.00020428903757276697,0.00025653371444441913,0.0003651792341445243,1.0246708549777498e-05
0.00020456963987328686,0.00025688639899571755,0.00036568028501959826,1.025989082388285e-05
0.00020484690918192997,0.0002572348976710774,0.0003661753788287124,1.0272907381254388e-05
0.00020512088123696135,0.0002575792553213447,0.0003666645795010342,1.0285760089212156e-05
0.0002053915914806342,0.00025791951642616443,0.00036714795043573593,1.0298450798799615e-05
0.00020565907505945465,0.00025825572509430864,0.0003676255545024746,1.0310981344808229e-05
0.00020592336682451743,0.0002585879250640941,0.0003680974540419988,1.0323353545805747e-05
0.00020618450133190957,0.00025891615970388525,0.0003685637108668781,1.0335569204168046e-05
0.00020644251284318045,0.00025924047201268045,0.00036902438626235014,1.0347630106114417e-05
0.00020669743532587533,0.0002595609046207774,0.0003694795409872816,1.0359538021746165e-05
0.00020694930245413018,0.00025987749979051637,0.00036992923527523903,1.0371294705088405e-05
0.00020719814760932598,0.00026019029941709717,0.00037037352883566586,1.038290189413493e-05
0.0002074440038807999,0.00026049934502946824,0.000370812480855161,1.039436131089605e-05
0.00020768690406661167,0.00026080467779128437,0.0003712461499988562,1.0405674661449284e-05
0.00020792688067436252,0.00026110633850193134,0.00037167459441188815,1.0416843635992784e-05
0.0002081639659220658,0.00026140436759761394,0.0003720978717209613,1.042786990890141e-05
0.00020839819173906608,0.00026169880515250634,0.00037251603903599935,1.0438755138785341e-05
0.00020862958976700568,0.0002619896908799612,0.0003729291529518802,1.044950096855111e-05
0.0002088581913608366,0.00026227706413377614,0.00037333726955025273,1.0460109025464985e-05
0.0002090840275898762,0.00026256096390951417,0.0003737404444014314,1.0470580921218598e-05
0.0002093071292389043,0.00026284142884587796,0.0003741387325663654,1.0480918251996714e-05
0.00020952752680930114,0.0002631184972261332,0.00037453218859868036,1.049112259854707e-05
0.00020974525052022333,0.00026339220697958185,0.00037492086654678837,1.0501195526252178e-05
0.0002099603303098172,0.00026366259568308013,0.0003753048199560644,1.0511138585203033e-05
0.00021017279583646715,0.0002639297005626025,0.0003756841018710862,1.0520953310274604e-05
0.00021038267648007837,0.0002641935584948472,0.0003760587648379345,1.0530641221203072e-05
0.00021059000134339173,0.00026445420600888325,0.00037642886090655155,1.0540203822664698e-05
0.00021079479925332969,0.00026471167928783577,0.00037679444163315475,1.0549642604356271e-05
0.00021099709876237202,0.00026496601417060897,0.00037715555808270375,1.0558959041077044e-05
0.00021119692814995964,0.00026521724615364433,0.0003775122608314176,1.0568154592812099e-05
0.00021139431542392548,0.00026546541039271313,0.00037786459996934027,1.0577230704817072e-05
0.0002115892883219511,0.0002657105417047403,0.0003782126251029525,1.0586188807704146e-05
0.00021178187431304755,0.00026595267456966035,0.00037855638535782643,1.0595030317529279e-05
0.00021197210059905979,0.000266191843132301,0.00037889592938132306,1.0603756635880576e-05
0.00021215999411619292,0.0002664280812042957,0.0003792313053453277,1.0612369149967761e-05
0.00021234558153655937,0.00026666142226602197,0.00037956256094902384,1.0620869232712679e-05
0.00021252888926974624,0.0002668918994685643,0.0003798897434217022,1.0629258242840756e-05
0.00021270994346440063,0.00026711954563570135,0.00038021289952560304,1.0637537524973396e-05
0.00021288877000983362,0.00026734439326591466,0.00038053207555879023,1.0645708409721216e-05
0.00021306539453764016,0.00026756647453441887,0.0003808473173580551,1.0653772213778098e-05
0.00021323984242333508,0.00026778582129521124,0.00038115867030184835,1.066173024001599e-05
0.00021341213878800356,0.0002680024650831399,0.0003814661793132382,1.0669583777580397e-05
0.00021358230849996562,0.00026821643711598934,0.00038176988886289313,1.067733410198654e-05
0.00021375037617645356,0.00026842776829658223,0.0003820698429720879,1.0684982475216103e-05
