V_E1,V_P1,V_S1,V_V1
0.0017887324113971534,-7.09942814907533e-05,-1.9948518443214943e-05,0.0
0.0017887324651740997,-7.099425963644717e-05,-1.9948518501947618e-05,0.0
0.0017887324465603496,-7.099424311219622e-05,-1.9948518271184977e-05,0.0
0.0017887322986128264,-7.09942370136739e-05,-1.9948517516810892e-05,0.0
0.001788731998112983,-7.099424351746245e-05,-1.9948516143048958e-05,0.0
0.0017887315555668022,-7.099426188105297e-05,-1.9948514192462493e-05,0.0
0.0017887310152047962,-7.099428844284531e-05,-1.9948511845954546e-05,0.0
0.0017887304549820077,-7.09943166221482e-05,-1.9948509422767895e-05,0.0
0.0017887299865780083,-7.099433691917914e-05,-1.994850738048504e-05,0.0
0.0017887297553969004,-7.09943369150645e-05,-1.994850631502821e-05,0.0
0.001788729830454834,-7.099431015704561e-05,-1.994850649599706e-05,0.0
0.0017887299651013159,-7.099427773306176e-05,-1.9948506899352506e-05,0.0
0.001788730049729291,-7.099425116123132e-05,-1.994850710827854e-05,0.0
0.0017887300233884928,-7.099423705758658e-05,-1.9948506894886155e-05,0.0
0.0017887298633613307,-7.099423791851818e-05,-1.994850617513915e-05,0.0
0.00178872958516289,-7.099425212077519e-05,-1.994850500885412e-05,0.0
0.0017887292425409322,-7.0994273921465e-05,-1.9948503599700484e-05,0.0
0.0017887289274758948,-7.09942934580534e-05,-1.9948502295200448e-05,0.0
0.0017887287701808916,-7.099429674836456e-05,-1.994850158672903e-05,0.0
0.0017887288289278932,-7.099427999560559e-05,-1.9948501685971357e-05,0.0
0.0017887289297769011,-7.099426279735893e-05,-1.9948501935498464e-05,0.0
0.0017887289895308287,-7.099424916882807e-05,-1.9948502039848058e-05,0.0
0.0017887289595989683,-7.09942412086818e-05,-1.9948501827274975e-05,0.0
0.0017887288232388938,-7.099423952074282e-05,-1.9948501238924545e-05,0.0
0.001788728595556461,-7.099424321398776e-05,-1.9948500328832614e-05,0.0
0.0017887283235058073,-7.099424990254717e-05,-1.9948499263925527e-05,0.0
0.0017887280858893517,-7.099425570570556e-05,-1.9948498324020133e-05,0.0
0.0017887279933577948,-7.099425524790132e-05,-1.994849790182379e-05,0.0
0.0017887280874649095,-7.099424913078389e-05,-1.9948498143779247e-05,0.0
0.001788728231220466,-7.099424390926765e-05,-1.994849856417479e-05,0.0
0.0017887283365258704,-7.099423964025419e-05,-1.9948498852433994e-05,0.0
0.0017887283476727613,-7.099423630842577e-05,-1.9948498812149357e-05,0.0
0.0017887282411205682,-7.099423385052888e-05,-1.9948498360287516e-05,0.0
0.0017887280254965123,-7.099423215537429e-05,-1.9948497527189216e-05,0.0
0.0017887277415956052,-7.099423106383697e-05,-1.994849645656932e-05,0.0
0.0017887274623806504,-7.099423036885614e-05,-1.9948495405516814e-05,0.0
0.0017887272929822417,-7.09942298154353e-05,-1.9948494744494802e-05,0.0
0.0017887273590575156,-7.09942296193599e-05,-1.9948494917361138e-05,0.0
0.0017887276068206841,-7.099423279469404e-05,-1.9948495740764285e-05,0.0
0.0017887278774509701,-7.099423704065317e-05,-1.99484966495786e-05,0.0
0.0017887280589078405,-7.099423973776976e-05,-1.9948497243021046e-05,0.0
0.001788728083147784,-7.099423927413033e-05,-1.9948497277622085e-05,0.0
0.0017887279261243117,-7.099423504537547e-05,-1.994849666722568e-05,0.0
0.0017887276077879564,-7.09942274546999e-05,-1.994849548298931e-05,0.0
0.001788727192086273,-7.099421791285236e-05,-1.9948493953383946e-05,0.0
0.001788726786963839,-7.09942088381357e-05,-1.9948492464194067e-05,0.0
0.001788726544362253,-7.099420365640685e-05,-1.9948491558517665e-05,0.0
0.0017887266545300513,-7.099420681734258e-05,-1.9948491917432043e-05,0.0
0.0017887270944855422,-7.09942199140642e-05,-1.994849347354742e-05,0.0
0.0017887276071125904,-7.099423578192311e-05,-1.994849529880815e-05,0.0
0.0017887279986760478,-7.09942479626695e-05,-1.994849668660964e-05,0.0
0.0017887281455178075,-7.099425232049022e-05,-1.9948497185838838e-05,0.0
0.0017887279940568047,-7.09942470420088e-05,-1.9948496600874212e-05,0.0
0.001788727560789016,-7.099423263628543e-05,-1.994849499158576e-05,0.0
0.0017887269322874604,-7.099421193481698e-05,-1.9948492673335013e-05,0.0
0.0017887262652021977,-7.099419009153696e-05,-1.9948490216975018e-05,0.0
0.0017887257862603298,-7.099417458281559e-05,-1.9948488448850353e-05,0.0
0.0017887257922660003,-7.099417520745972e-05,-1.994848845079713e-05,0.0
0.0017887263941256798,-7.099419597250867e-05,-1.99484906420299e-05,0.0
0.0017887271869136481,-7.099422347535797e-05,-1.9948493547783513e-05,0.0
