E1,E2,E3,E4,P1,P2,P3,P4
8.293693599910905e-05,0.0001142147829685889,0.00015517211721463107,-7.748429794439926e-06,0.001139193832890896,0.0007559249035467071,0.0003615094768015682,0.0009271039302791714
8.40065429082078e-05,0.0001156240911273847,0.00015714188679160268,-7.771657085416655e-06,0.0011526949950209334,0.0007650992756588681,0.0003661384687145653,0.0009381007992215882
8.507090980880946e-05,0.00011702583170662712,0.00015910182116991208,-7.793956833151626e-06,0.0011661173611219728,0.0007742228859144952,0.0003707449348494316,0.0009490326867548
8.612991851349056e-05,0.00011841987398648177,0.00016105171628126488,-7.81535642620983e-06,0.0011794599028093667,0.0007832949464335207,0.0003753283824702319,0.0009598987357836146
8.718345588787761e-05,0.00011980609341391203,0.00016299137696811953,-7.835882786890186e-06,0.0011927216465402177,0.0007923147080495499,0.0003798883399383035,0.0009706981348304117
8.823141373798943e-05,0.00012118437145068134,0.00016492061677832233,-7.855562364150854e-06,0.001205901672121121,0.0008012814593180743,0.0003844243562341399,0.0009814301168085235
8.927368869875139e-05,0.00012255459542382025,0.0001668392577623756,-7.87442112766481e-06,0.0012189991112478038,0.0008101945255430159,0.0003889360004849537,0.0009920939578209752
9.031018212372679e-05,0.00012391665837855869,0.00016874713027338517,-7.892484562936346e-06,0.0012320131460761383,0.0008190532678214444,0.0003934228614980584,0.001002688975984207
9.134079997610656e-05,0.000125270458933722,0.00017064407276972884,-7.90977766741249e-06,0.0012449430078240024,0.0008278570821063055,0.00039788454730019365,0.0010132145302764086
9.236545272099372e-05,0.0001266159011395849,0.000172529931620481,-7.926324947526615e-06,0.0012577879754034752,0.0008366053982869895,0.0004023206846829045,0.0010236700194100835
9.338405521901686e-05,0.0001279528943381785,0.0001744045609136245,-7.942150416614583e-06,0.0012705473740828531,0.0008452976792875632,0.0004067309187540749,0.0010340548807284782
9.439652662130232e-05,0.00012928135302604088,0.0001762678222670764,-7.95727759364669e-06,0.0012832205741779728,0.0008539334201824862,0.00041111491249570066,0.0010443685891254949
9.540279026583227e-05,0.00013060119671940153,0.0001781195846425496,-7.971729502721562e-06,0.001295806989772339,0.0008625121473296193,0.0004154723463279777,0.0010546106559887218
9.640277357521215e-05,0.0001319123498217875,0.00017995972416226717,-7.985528673270808e-06,0.0013083060774655589,0.0008710334175203374,0.00041980291767976805,0.0010647806281652117
9.739640795586871e-05,0.00013321474149403755,0.00018178812392854492,-7.998697140925791e-06,0.001320717335149576,0.000879496817146549,0.00042410634056549924,0.0010748780869496294
9.838362869869672e-05,0.0001345083055267099,0.00018360467384625115,-8.01125644900042e-06,0.0013330403008122212,0.0008879019613844201,0.00042838234516854077,0.0010849026470944158
9.936437488117015e-05,0.00013579298021486628,0.0001854092704481508,-8.02322765054614e-06,0.0013452745513675903,0.000896248493394603,0.0004326306774310913,0.0010948539558415953
0.00010033858927093049,0.0001370687082352155,0.00018720181672313797,-8.034631310937568e-06,0.0013574197015127649,0.0009045360835387586,0.00043685109865060443,0.0011047316919758643
0.00010130621823086377,0.0001383354365255969,0.0001889822219473566,-8.0454875109494e-06,0.0013694754026103966,0.0009127644286121666,0.00044104338508277183,0.001114535564898602
0.00010226721162567463,0.00013959311616678442,0.00019075040151820755,-8.05581585028724e-06,0.0013814413415966932,0.0009209332510922095,0.0004452073275510722,0.001124265313722449
0.00010322152272996381,0.00014084170226658942,0.000192506276791237,-8.065635451536913e-06,0.0013933172399143228,0.000929042298402518,0.00044934273106289174,0.0011339207063860938
0.00010416910813781469,0.00014208115384624153,0.00019424977491989788,-8.07496496449881e-06,0.0014051028524697923,0.0009370913421925607,0.00045344941443221194,0.0011435015387889196
0.00010510992767389057,0.0001433114337290235,0.00019598082869817568,-8.083822570875457e-06,0.0014167979666148305,0.0009450801776324628,0.0004575272099088561,0.0011530076339451604
0.00010604394430604521,0.00014453250843113774,0.00019769937640606533,-8.092225989282314e-06,0.001428402401151333,0.0009530086227228349,0.00046157596281427724,0.001162438841157223
0.00010697112405944538,0.00014574434805477907,0.00019940536165788573,-8.100192480553366e-06,0.0014399160053594213,0.0009608765176193942,0.0004655955311838688,0.0011717950352078306
0.00010789143593220369,0.00014694692618338981,0.00020109873325341562,-8.10773885331464e-06,0.0014513386580481777,0.0009686837239721556,0.0004695857854157714,0.001181076115570649
0.0001088048518125188,0.0001481402197790711,0.0002027794450318326,-8.114881469800262e-06,0.0014626702666286227,0.0009764301242789764,0.00047354660792614316,0.001190282005639066
0.00010971134639731825,0.00014932420908212506,0.00020444745572843656,-8.121636251887092e-06,0.0014739107662085041,0.0009841156212532342,0.00047747789281086064,0.001199412651972781
0.00011061089711239774,0.0001504988775127003,0.00020610272883413543,-8.128018687325246e-06,0.001485060118708482,0.000991740137205413,0.0004813795455136082,0.0012084680235618878
0.00011150348403405059,0.0001516642115745151,0.00020774523245767183,-8.134043836143212e-06,0.0014961183119992848,0.0009993036134383858,0.000485251482500315,0.00121744811110812
0.00011238908981217866,0.0001528202007606301,0.00020937493919056572,-8.139726337207381e-06,0.0015070853590594365,0.0010068060096561683,0.0004890936309398908,0.0012263529263229404
0.00011326769959487621,0.00015396683746124337,0.00021099182597474902,-8.14508041491704e-06,0.0015179612971531417,0.0010142473033859264,0.0004929059283912096,0.0012351825012421559
0.00011413930095447666,0.00015510411687347995,0.00021259587397286562,-8.150119886016934e-06,0.0015287461870279304,0.0010216274894130212,0.0004966883224962892,0.0012439368875567477
0.00011500388381505101,0.00015623203691314782,0.00021418706844120912,-8.154858166510632e-06,0.0015394401121316768,0.0010289465792288727,0.0005004407706796095,0.001252616155959604
0.00011586144038134715,0.00015735059812843166,0.0002157653986052714,-8.159308278658844e-06,0.0015500431778485996,0.001036204600491428,0.0005041632398535101,0.0012612203955078565
