E1,E2,E3,E4,P1,P2,P3,P4
2.2479118030611848e-05,3.2662876822283095e-05,4.300065287426403e-05,-4.145389545099326e-06,0.0003405137035730758,0.00022041423332338865,9.921110561359378e-05,0.0002763239485326887
2.3453612308047324e-05,3.402362417663066e-05,4.483258726060078e-05,-4.25905768003061e-06,0.00035424996034175594,0.00022946431867957795,0.00010346697557324025,0.0002875015026924496
2.443987824712192e-05,3.539827920995796e-05,4.668525074171886e-05,-4.37106706620188e-06,0.00036810509603881435,0.00023860071078584395,0.00010777241534417862,0.0002987770506872039
2.543738452068757e-05,3.678611026806496e-05,4.855765606863254e-05,-4.481367491177505e-06,0.00038207180486556514,0.00024781857770401117,0.00011212513046008199,0.0003101446176197626
2.6445613863866943e-05,3.818640441512872e-05,5.044884138292918e-05,-4.589909325097445e-06,0.00039614296249561196,0.0002571132086936382,0.00011652288576535042,0.00032159837751074714
2.7464063074053345e-05,3.9598467433703434e-05,5.2357870216768925e-05,-4.696643520677237e-06,0.00041031162607484855,0.0002664800142120159,0.00012096350541511055,0.0003331326532985889
2.8492243010910786e-05,4.1021623824720334e-05,5.428383149288502e-05,-4.801521613208016e-06,0.00042457103422145813,0.0002759145259141683,0.0001254448728752158,0.00034474191683953016
2.952967859637397e-05,4.245521680748782e-05,5.622583952458364e-05,-4.904495720556501e-06,0.0004389146070259147,0.00028541239665285306,0.00012996493092224653,0.00035642078890762334
3.0575908814648264e-05,4.3898608319691365e-05,5.818303401574389e-05,-5.005518543164993e-06,0.00045333594605098096,0.0002949694004785603,0.00013452168164350983,0.00036816403919473126
3.16304867122097e-05,4.535117901739353e-05,6.015458006081785e-05,-5.104543364051389e-06,0.00046782883433171,0.0003045814326395135,0.00013911318643703953,0.000379966586310527
3.269297939780503e-05,4.6812328275034047e-05,6.213966814483061e-05,-5.201524048809165e-06,0.0004823872363754453,0.0003142445095816692,0.00014373756601159646,0.00039182349778249444
3.376296804245168e-05,4.828147418542966e-05,6.413751414338015e-05,-5.29641504560739e-06,0.0004970052981618194,0.0003239547689487168,0.00014839300038666797,0.0004037299900559275
3.484004787943771e-05,4.975805355977426e-05,6.614735932263742e-05,-5.389171385190718e-06,0.0005116773471427548,0.00033370846958207906,0.0001530777288924683,0.0004156814284939304
3.592382820432193e-05,5.1241521927638816e-05,6.81684703393464e-05,-5.47974868087939e-06,0.0005263978922424645,0.00034350199152091145,0.00015779005016993854,0.00042767332737741803
3.701388781878352e-05,5.273131276196799e-05,7.02000713069393e-05,-5.568123316434707e-06,0.0005411613925813339,0.00035333162517257584,0.00016252815345677656,0.00043970114667898306
3.810966962438934e-05,5.42267591500933e-05,7.224119335923532e-05,-5.654361901061033e-06,0.0005559620462907308,0.0003631932372966962,0.00016728973417143902,0.0004517600703541873
3.921072384094475e-05,5.572731739223029e-05,7.429104599766324e-05,-5.7385122959788e-06,0.0005707950718698498,0.0003730834309873798,0.00017207291557773722,0.00046384613014205194
4.031662249331905e-05,5.723246708139759e-05,7.634887439291251e-05,-5.820616440489358e-06,0.0005856558629332228,0.0003829989441176637,0.0001768759073265718,0.000475955505922615
4.1426947971972255e-05,5.874169976899733e-05,7.841394145174936e-05,-5.900714499240258e-06,0.0006005399127922919,0.00039293658734235924,0.00018169696143536198,0.0004880844611688324
4.2541293032955e-05,6.0254518964815325e-05,8.048552781701667e-05,-5.97884486222526e-06,0.0006154428144554109,0.00040289324409805083,0.00018653437228804604,0.0005002293429465781
4.365926079790862e-05,6.177044013702099e-05,8.256293186763416e-05,-6.055044144784341e-06,0.0006303602606278442,0.00041286587060309753,0.00019138647663508108,0.0005123865819146446
4.478046475406508e-05,6.328899071216738e-05,8.46454697185982e-05,-6.1293471876036805e-06,0.000645288043711767,0.00042285149585763156,0.00019625165359344324,0.0005245526923247423
4.590452875424703e-05,6.480971007519116e-05,8.673247522098186e-05,-6.2017870567156684e-06,0.0006602220558062656,0.0004328472216435593,0.00020112832464662722,0.0005367242720214998
