E1,E2,E3,E4
0.0002136243733101548,0.00026826963771810913,0.0003818444365140312,1.0678403741666303e-05
0.00021379092514345723,0.0002684790608037771,0.0003821416884801512,1.0685988741228164e-05
0.00021395545773019714,0.000268685946987132,0.00038243533300399995,1.0693475965659171e-05
0.00021411799275008705,0.00026889032348491164,0.00038272540885257483,1.070086652283046e-05
0.00021427855148701495,0.0002690922170172881,0.0003830119540845954,1.0708161499460306e-05
0.00021443715482904425,0.00026929165380786723,0.00038329500605050403,1.0715361961114125e-05
0.00021459382326841374,0.0002694886595836888,0.0003835746013924654,1.0722468952204466e-05
0.00021474857690153762,0.00026968325957522655,0.0003838507760443667,1.0729483495991021e-05
0.00021490143542900541,0.0002698754785163882,0.00038412356523181756,1.073640659458062e-05
0.00021505241815558213,0.0002700653406445153,0.0003843930034721501,1.0743239228927228e-05
0.00021520154399020807,0.00027025286970038345,0.0003846591245744191,1.074998235883195e-05
0.000215348831445999,0.00027043808892820217,0.0003849219616394016,1.0756636922943033e-05
0.00021549429864024607,0.0002706210210756148,0.0003851815470595971,1.0763203838755859e-05
0.00021563796329441583,0.0002708016883936988,0.0003854379125192279,1.0769684002612945e-05
0.00021577984273415019,0.0002709801126369654,0.0003856910889942385,1.0776078289703955e-05
