background_input/bI_definition/backgrndI_strengths,E3b,PV3b,SST3b,VIP3b,thalE,thalI,stability,bifurcation
-0.077095065094,1.3343993139509982,26.162303078350995,-2.1641872982890002,-6.625396085629,0.0,0.0,True,RG
-0.077866468087,1.3343657246509981,26.162112361151003,-2.164225606089,-6.6254956192289995,0.0,0.0,True,RG
-0.078637869767,1.334332131644999,26.161921638745,-2.1642639151750003,-6.625595153035,0.0,0.0,True,RG
-0.079409270136,1.3342985392320013,26.161730912331997,-2.1643022234380003,-6.625694686548,0.0,0.0,True,RG
-0.080180669191,1.3342649441130003,26.161540182813,-2.1643405330870014,-6.625794220367,0.0,0.0,True,RG
-0.080952066934,1.334231349588001,26.161349446987998,-2.164378843901999,-6.625893754192001,0.0,0.0,True,RG
-0.081723463364,1.3341977514569998,26.161158708057,-2.1644171550030005,-6.625993288023001,0.0,0.0,True,RG
-0.082494858482,1.3341641549200018,26.16096796511999,-2.16445546638,-6.626092821860001,0.0,0.0,True,RG
-0.083266252287,1.3341305546770001,26.160777216977,-2.164493778933,-6.626192355802999,0.0,0.0,True,RG
-0.084037644778,1.3340969550269988,26.160586465626995,-2.1645320918629998,-6.626291889753,0.0,0.0,True,RG
-0.084809035957,1.334063352772,26.160395709171993,-2.164570405978,-6.626391423608,0.0,0.0,True,RG
-0.085580425823,1.3340297500099982,26.160204948609994,-2.16460872037,-6.626490957670001,0.0,0.0,True,RG
-0.086351814375,1.333996145642001,26.160014183942,-2.164647035038,-6.626590491638,0.0,0.0,True,RG
-0.087123201614,1.333962540867999,26.159823413967995,-2.1646853508820003,-6.626690025812,0.0,0.0,True,RG
-0.08789458754,1.3339289334889999,26.159632641088997,-2.164723667111,-6.626789559891,0.0,0.0,True,RG
-0.088665972152,1.333895325503001,26.159441862903,-2.1647619845169994,-6.626889094077,0.0,0.0,True,RG
-0.089437355451,1.3338617171110019,26.159251081611,-2.164800302199,-6.626988628269,0.0,0.0,True,RG
-0.090208737436,1.3338281071139992,26.159060295213994,-2.164838620156,-6.627088162566001,0.0,0.0,True,RG
-0.090980118107,1.3337944956109997,26.158869503610994,-2.164876939389001,-6.627187696768999,0.0,0.0,True,RG
-0.091751497464,1.333760882401,26.158678709001002,-2.1649152588090015,-6.627287231178999,0.0,0.0,True,RG
-0.092522875507,1.3337272688859987,26.158487910186,-2.1649535796039987,-6.627386765394,0.0,0.0,True,RG
-0.093294252237,1.3336936537649986,26.158297106164998,-2.164991900574999,-6.627486299915001,0.0,0.0,True,RG
-0.094065627652,1.3336600380389985,26.158106298138996,-2.165030222721001,-6.627585834341,0.0,0.0,True,RG
-0.094837001753,1.3336264198069987,26.157915486806996,-2.1650685453430003,-6.627685368673,0.0,0.0,True,RG
-0.09560837454,1.333592802168002,26.157724669468,-2.165106868052001,-6.627784903212,0.0,0.0,True,RG
-0.096379746012,1.3335591818250012,26.157533849024997,-2.165145192035,-6.627884437854999,0.0,0.0,True,RG
-0.09715111617,1.333525560974999,26.157343024374995,-2.165183516395,-6.6279839724050005,0.0,0.0,True,RG
-0.097922485014,1.3334919377199985,26.157152194520002,-2.1652218419400016,-6.62808350706,0.0,0.0,True,RG
-0.098693852542,1.3334583147600012,26.15696136166,-2.165260167650001,-6.62818304172,0.0,0.0,True,RG
-0.099465218756,1.3334246892939985,26.156770523594,-2.165298493746,-6.628282576286,0.0,0.0,True,RG
-0.10023658366,1.3333910634220008,26.156579681422,-2.165336821018,-6.6283821110579995,0.0,0.0,True,RG
-0.10100794724,1.3333574368439995,26.156388834043998,-2.1653751486760004,-6.6284816460360005,0.0,0.0,True,RG
-0.10177930951,1.3333238067619997,26.156197983461997,-2.165413477498,-6.628581180618,0.0,0.0,True,RG
-0.10255067046,1.3332901772729984,26.156007128873,-2.1654518065070003,-6.6286807155069996,0.0,0.0,True,RG
-0.1033220301,1.3332565471800002,26.15581626918,-2.1654901359900003,-6.6287802505,0.0,0.0,True,RG
-0.10409338843,1.3332229145810002,26.155625405281,-2.1655284664490004,-6.6288797852990005,0.0,0.0,True,RG
-0.10486474543,1.3331892813760018,26.155434537276,-2.165566797383999,-6.6289793204039995,0.0,0.0,True,RG
-0.10563610113,1.333155646665998,26.155243664966,-2.1656051295039993,-6.629078855314001,0.0,0.0,True,RG
-0.1064074555,1.3331220113509994,26.155052787750996,-2.1656434618989997,-6.629178390329,0.0,0.0,True,RG
-0.10717880857,1.3330883735309988,26.154861907331,-2.165681795469,-6.629277925449,0.0,0.0,True,RG
-0.10795016031,1.3330547363049998,26.154671021704992,-2.1657201294149995,-6.629377460475,0.0,0.0,True,RG
